kata,kelas,kata_dasar,nilai
"hilofobia","Nomina; Psi","",3
"hiloi","Nomina; Stn","",1
"hilum","Nomina; Bot","",4
"hilus","Nomina","",3
"hima","Nomina; akr","",4
"hima","Nomina; Tb","",1
"himah","Nomina; Bsm","",1
"himalaya","Nomina","",7
"himam","Nomina; Stn","",1
"himanga","Nomina; Huk","",1
"himaprodi","Nomina; akr","",5
"himar","Nomina; Ar","",3
"himbara","Nomina; akr","",7
"himbau","","",2
"himbau","","",2
"himbauan","","",2
"himbauan","","",2
"himbo","Nomina; Me","",1
"himel","","",1
"himen","Nomina; Anat","",5
"himenektomi","Nomina; Dok","",3
"himenium","Nomina","",3
"himenoplasti","Nomina; Dok","",3
"himenoplastis","Adjektiva; Dok","",2
"himenopterofili","Nomina; Bio","",3
"himi","Nomina; Stn","",1
"himlao","Nomina","",2
"himne","Nomina","",7
"himper","Nomina; Dy; MBa","",1
"himpit","","",2
"himpit","","",2
"himpu","Verba; Bjr","",1
"himpun","Verba","",9
"himsyak","Nomina; Tbt","",1
"himudu","Nomina; Gor","",1
"himuudu","Nomina; Gor","",1
"hina","Adjektiva","",8
"hinamatsuri","Nomina","",4
"hinap","","",1
"hinayana","Nomina","",5
"hinayi","Verba; Bun","",1
"hindar","Verba","",9
"hindau","Nomina; Bjr","",1
"hindesan","Nomina; Sd","",1
"hindi","Nomina","",6
"hindia","Nomina","",7
"hindu","Nomina","",9
"hindu","Nomina","",4
"hinduisme","Nomina","",7
"hindupo","Verba; Gor","",1
"hindustan","Nomina","",5
"hindutva","Nomina","",4
"hindutwa","Nomina; Hin","",3
"hingar","","",2
"hingar","","",2
"hinge","Nomina; Zool","",2
"hingga","Nomina; Partikel","",10
"hinggap","Verba; ki","",8
"hingggi","Verba; Gor","",1
"hinggi","Nomina; Sb","",2
"hinggut","Verba","",4
"hinin","Nomina; Kur","",1
"hining","Adjektiva; Md","",1
"hininti","Nomina","",2
"hinjam","Verba; Dy","",1
"hinjou","Nomina; Dy","",1
"hinjow","Verba; Dy","",1
"hinofui","Verba; Bgk","",1
"hinole","Nomina; Bgk","",1
"hinolong","Nomina; Kai","",1
"hinomaru","Nomina; Jp","",4
"hinting","Nomina; DyNg","",1
"hintuak","Nomina; Dy","",1
"hintuk","Verba; Bjr","",1
"hinunuk","Nomina; Ram","",1
"hinyai","Verba; Sd; cak","",2
"hio","Nomina","",5
"hioid","Nomina","",3
"hiolo","Nomina; Cn","",4
"hiomental","Adjektiva","",2
"hiosiamina","Nomina; Kim","",3
"hiosin","Nomina; Kim","",3
"hiou","Nomina","",2
"hipakusia","Nomina","",3
"hipalase","Nomina; Ling","",3
"hipantium","Nomina; Bot","",3
"hipegiafobia","Nomina; Psi","",3
"hiperagregasi","Nomina; Dok","",3
"hiperagresif","Adjektiva","",4
"hiperajusis","Nomina; Dok","",2
"hiperaktif","Adjektiva","",9
"hiperaktivitas","Nomina","",7
"hiperakuitas","Nomina","",3
"hiperakumulator","Nomina","",4
"hiperakusis","Adjektiva","",3
"hiperaldosteronisme","Nomina; Dok","",3
"hiperalgesia","Nomina; Dok","",4
"hiperamilasemia","Nomina; Dok","",3
"hiperamnesi","Nomina; Dok","",3
"hiperamonemia","Nomina; Kim","",3
"hiperandrogen","Nomina; Dok","",4
"hiperandrogenisme","Nomina; Dok","",4
"hiperantefleksi","Nomina; Dok","",2
"hiperarid","Adjektiva; Geo","",3
"hiperasiditas","Nomina; Dok","",4
"hiperazotemia","Nomina","",3
"hiperbarik","Adjektiva","",5
"hiperbaton","Nomina; Ling","",3
"hiperbilirubinemia","Nomina; Kim","",4
"hiperbol","Nomina","",5
"hiperbola","Nomina; Mat","",7
"hiperbolis","Adjektiva","",5
"hiperboloid","Nomina; Mat","",4
"hiperdaktili","Nomina; Dok","",3
"hiperdefekasi","Nomina; Dok","",3
"hiperdinamik","Adjektiva; Dok","",3
"hiperdontia","Nomina; Dok","",3
"hipere","Nomina","",2
"hiperealitas","Nomina","",4
"hiperekoik","Nomina; Dok","",3
"hipereksitabilitas","Nomina; Dok","",3
"hiperekstensi","Nomina; Dok","",4
"hiperemesis","Nomina; Dok","",4
"hiperemia","Nomina; Dok","",4
"hiperemis","Nomina","",3
"hiperendemi","Nomina; Dok","",3
"hiperendemik","Adjektiva; Dok","",3
"hiperepifit","Nomina; Bio","",2
"hiperestesia","Nomina; Dok","",3
"hiperestrinisme","Nomina; Dok","",3
"hiperetrofleksi","Nomina; Dok","",2
"hipereutrofik","Adjektiva; Hid","",3
"hiperfagi","Nomina; Dok","",3
"hiperfagia","Nomina","",3
"hiperfeminin","Adjektiva","",3
"hiperfiltrasi","Nomina; Dok","",3
"hiperfleksi","Nomina","",4
"hiperfokus","Adjektiva","",5
"hiperfosfatemia","Nomina","",3
"hiperfungsi","Nomina; Dok","",4
"hiperfungsional","Adjektiva","",3
"hipergami","Nomina; Antr","",4
"hipergeometrik","Adjektiva; Mat","",4
"hipergeusia","Nomina; Dok","",3
"hiperglikemia","Nomina","",7
"hiperglikemik","Adjektiva; Dok","",4
"hiperglisemia","Nomina; Kim","",3
"hiperglisinemia","Nomina; Dok","",3
"hipergolik","Nomina; Dirg","",3
"hipergranulasi","Nomina; Dok","",3
"hiperhidrosis","Nomina; Dok; Trs","",5
"hiperinflamasi","Nomina; Dok","",5
"hiperinflasi","Nomina; Ek","",8
"hiperinsulinemia","Nomina","",4
"hiperinvolusi","Nomina; Dok","",3
"hiperkalemia","Nomina","",5
"hiperkalsemia","Nomina; Kim","",4
"hiperkalsiuria","Nomina; Dok","",3
"hiperkapnia","Nomina; Dok","",4
"hiperkarbia","Nomina; Dok","",3
"hiperkarnivora","Nomina; Bio","",4
"hiperkatabolik","Adjektiva; Dok","",3
"hiperkatabolisme","Nomina; Dok","",3
"hiperkateksis","Nomina; Psi","",3
"hiperkelas","Nomina; Ling","",3
"hiperkeratinisasi","Nomina; Dok","",3
"hiperkeratosis","Nomina; Kim","",4
"hiperkes","Nomina; akr","",4
"hiperkifosis","Nomina; Dok","",4
"hiperkinesis","Nomina; Psi","",4
"hiperkinetik","Adjektiva","",3
"hiperkloremia","Nomina; Dok","",3
"hiperklorhidria","Nomina","",3
"hiperkoaguabilitas","Nomina; Dok","",3
"hiperkoagulasi","Nomina; Dok","",4
"hiperkolesterol","Nomina; Dok","",4
"hiperkolesterolemia","Nomina","",5
"hiperkompetisi","Nomina","",4
"hiperkompleks","Adjektiva; Mat","",4
"hiperkorek","Adjektiva","",3
"hiperkoreksi","Nomina","",5
"hiperkortisolisme","Nomina; Dok","",3
"hiperkreolisasi","Nomina","",3
"hiperkritis","Adjektiva","",5
"hiperkromatisme","Nomina; Dok; Bio","",3
"hiperkupremia","Nomina; Dok","",3
"hiperlakrimasi","Nomina; Dok","",3
"hiperlaktasi","Nomina; Dok","",3
"hiperlaktatemia","Nomina","",3
"hiperlipemia","Nomina; Dok","",3
"hiperlipidemia","Nomina; Dok","",5
"hiperlipoprotenemia","Nomina","",3
"hiperlordosis","Nomina; Dok","",4
"hipermagnesemia","Nomina; Dok","",3
"hipermarket","Nomina","",8
"hipermaskulin","Adjektiva","",4
"hipermedia","Nomina; Komp","",6
"hipermelanosis","Nomina; Dok","",3
"hipermenorea","Nomina; Dok","",4
"hipermetabolik","Adjektiva; Dok","",3
"hipermetabolisme","Nomina; Dok","",3
"hipermetropi","Nomina; Dok","",5
"hipermetropia","Nomina; Dok","",4
"hipermnesia","Nomina; Psi","",4
"hipermobilitas","Nomina; Dok","",4
"hipermotilitas","Nomina; Dok","",3
"hipernasalitas","Nomina","",3
"hipernasionalisme","Nomina","",4
"hipernatremia","Nomina; Dok","",4
"hipernefroma","Nomina; Dok","",3
"hipernim","Nomina","",4
"hipernova","Nomina; Astron","",5
"hiperoksaluria","Nomina","",3
"hiperoksemia","Nomina; Dok","",3
"hiperoksia","Nomina; Dok","",4
"hiperon","Nomina; Kim; Fis","",4
"hiperopia","Nomina","",4
"hiperosmia","Nomina; Dok","",3
"hiperosmolalitas","Nomina; Dok","",3
"hiperosmolar","Nomina; Dok","",3
"hiperosmolaritas","Nomina; Dok","",3
"hiperosmotik","Nomina","",3
"hiperovulasi","Nomina; Dok","",4
"hiperparasit","Nomina","",3
"hiperparasitisme","Nomina; Bio","",3
"hipêrparatiroid","Nomina; Dok","",4
"hiperparatiroidisme","Nomina; Dok","",4
"hiperpigmentasi","Nomina; Dok","",6
"hiperpireksia","Nomina; Dok","",4
"hiperpituitarisme","Nomina; Dok","",3
"hiperplasia","Nomina","",5
"hiperplastik","Nomina; Tan","",3
"hiperpnea","Nomina; Dok","",3
"hiperpolarisasi","Nomina; Bio","",4
"hiperprolaktinemia","Nomina; Dok","",4
"hiperprolinemia","Nomina; Dok","",3
"hiperproseksia","Nomina; Psi","",3
"hiperreaktif","Adjektiva","",4
"hiperreaktivitas","Nomina","",4
"hiperrealitas","Nomina","",5
"hiperrefleksia","Nomina","",3
"hiperresonansi","Nomina","",3
"hipersalin","Adjektiva; Bio","",3
"hipersaliva","Nomina; Dok","",3
"hipersalivasi","Nomina","",4
"hiperseborea","Nomina; Dok","",3
"hipersekresi","Nomina; Bio","",4
"hiperseks","Nomina; Psi","",6
"hiperseksual","Adjektiva","",5
"hiperseksualitas","Nomina","",5
"hiperseluler","Adjektiva; Dok","",3
"hipersementosis","Nomina; Dok","",3
"hipersemiotika","Nomina","",4
"hipersensitif","Adjektiva; Bio","",7
"hipersensitivitas","Nomina; Kim; Psi","",6
"hipersomnia","Nomina","",6
"hipersonik","Adjektiva","",7
"hipersonika","Nomina; Fis","",4
"hiperspektral","Nomina","",4
"hipersplenisme","Nomina; Dok","",4
"hipersten","Nomina; Geo","",3
"hiperstimulasi","Nomina","",4
"hipertaut","Nomina; Komp","",5
"hiperteks","Nomina","",6
"hipertelorisme","Nomina; Dok","",4
"hipertensi","Nomina","",9
"hipertermia","Nomina","",6
"hipertermik","Nomina; Tn","",3
"hipertermofil","Nomina; Bio","",4
"hipertimesia","Nomina","",4
"hipertiroid","Nomina; Dok","",5
"hipertiroidisme","Nomina; Dok","",5
"hipertoksik","Adjektiva","",3
"hipertoksisitas","Nomina","",3
"hipertonia","Nomina; Dok","",3
"hipertonik","Adjektiva; Kim","",4
"hipertonis","Nomina","",3
"hipertonisitas","Nomina; Kim","",3
"hipertradisional","Adjektiva","",3
"hipertrigliseridemia","Adjektiva; Dok","",4
"hipertrikosis","Nomina","",4
"hipertrofi","Nomina; Bio; Olr","",6
"hipertrofik","Adjektiva","",3
"hipertropia","Nomina; Dok","",3
"hiperurbanisme","Nomina","",4
"hiperurisemia","Nomina; Dok","",4
"hipervaksinasi","Nomina; Dok","",3
"hipervaskularisasi","Nomina; Dok","",3
"hiperventilasi","Nomina; Dok","",5
"hiperviskositas","Nomina; Dok","",3
"hipervitaminosis","Nomina","",4
"hipervolemia","Nomina; Dok","",4
"hipestesia","Nomina","",3
"hiphop","Nomina; Tbs; Mus","",7
"hipnagogik","Nomina","",3
"hipnik","Adjektiva","",3
"hipnoanalisis","Nomina; Psi","",3
"hipnofobia","Nomina; Psi","",3
"hipnolangsing","Nomina","",4
"hipnopompik","Adjektiva","",3
"hipnosa","","",2
"hipnosa","","",2
"hipnose","","",2
"hipnose","","",2
"hipnosis","Nomina; Dok","",7
"hipnoterapi","Nomina; Psi","",7
"hipnoterapis","Nomina","",4
"hipnotik","Adjektiva","",4
"hipnotis","Adjektiva","",6
"hipnotisme","Nomina","",5
"hipoadrenalisme","Nomina; Dok","",3
"hipoaktif","Adjektiva","",4
"hipoaktivitas","Nomina","",3
"hipoakusis","Adjektiva","",3
"hipoalbuminemia","Nomina; Dok","",3
"hipoalergenik","Adjektiva; Dok","",6
"hipoasiditas","Nomina; Dok","",3
"hipobarik","Nomina","",3
"hipoblas","Nomina; Bio","",3
"hipodermik","Adjektiva","",3
"hipodermis","Nomina; Bio","",4
"hipodermoklisis","Nomina; Dok","",2
"hipodontia","Nomina; Dok","",3
"hipodrom","Nomina; Sen","",3
"hipoekoik","Nomina; Dok","",3
"hipofaring","Nomina; Anat","",4
"hipofibrinogenemia","Nomina; Dok","",3
"hipofil","Adjektiva; Bot","",2
"hipofilantin","Nomina","",2
"hipofili","Nomina; Psi","",2
"hipofilia","Nomina; Psi","",2
"hipofisasi","Nomina; Ikn","",4
"hipofisektomi","Nomina; Dok","",3
"hipofisis","Nomina; Dok","",5
"hipofobia","Nomina; Psi","",3
"hipofosfatemia","Nomina","",3
"hipofremia","Nomina; Psi","",2
"hipofrenia","Nomina; Dok","",3
"hipofungsi","Nomina","",3
"hipogami","Nomina","",3
"hipogastrik","Adjektiva; Anat","",3
"hipogastrium","Nomina; Anat","",3
"hipogeal","Nomina; Bio","",4
"hipogen","Adjektiva; Geo","",3
"hipogesia","Nomina","",2
"hipogeum","Nomina; Ars","",3
"hipogini","Nomina; Bio","",3
"hipoglikemia","Nomina; Dok","",7
"hipoglikemik","Nomina; Dok","",4
"hipoglisemia","Nomina","",3
"hipoglosus","Nomina; Dok","",3
"hipognatus","Adjektiva","",2
"hipogonadisme","Nomina; Dok","",4
"hipogram","Nomina","",3
"hipokalemia","Nomina","",5
"hipokalsemia","Nomina; Dok","",4
"hipokampal","Nomina","",3
"hipokampus","Nomina; Dok","",6
"hipokapnia","Nomina","",3
"hipokarnivora","Nomina; Bio","",3
"hipokinesia","Nomina","",3
"hipokinetik","Nomina; Dok","",3
"hipokloremia","Nomina","",3
"hipoklorhidria","Nomina","",3
"hipoklorit","Nomina","",4
"hipokoagulabilitas","Nomina","",2
"hipokolesterolemia","Nomina","",3
"hipokondria","Nomina; Psi","",5
"hipokondriak","Adjektiva; Anat","",3
"hipokondriak","Nomina; Psi","",3
"hipokondriasis","Adjektiva","",3
"hipokondrium","Nomina; Anat","",3
"hipokoristik","Nomina; Ling","",4
"hipokotil","Nomina; Bot","",4
"hipokretin","Nomina; Bio","",3
"hipokrisi","Nomina","",4
"hipokrit","Adjektiva; Nomina","",6
"hipokritis","Adjektiva","",4
"hipoksemia","Nomina; Dok","",4
"hipoksia","Nomina; Dok","",7
"hipoksifilia","Nomina; Psi","",3
"hipoksik","Adjektiva; Kim","",3
"hipolimnia","Nomina","",2
"hipolimnion","Nomina; Hid","",4
"hipolipidemik","Adjektiva","",3
"hipolordosis","Nomina; Dok","",3
"hipomagnesemia","Nomina; Dok","",3
"hipomania","Nomina; Psi","",5
"hipomastia","Adjektiva; Dok","",3
"hipomenorea","Nomina; Dok","",4
"hipomnesia","Nomina","",3
"hipomobilitas","Nomina; Dok","",3
"hipomolitas","Nomina; Dok","",2
"hiponasti","Nomina; Bio","",3
"hiponatremia","Nomina; Dok","",5
"hiponatrium","Nomina; Dok","",3
"hiponikium","Nomina; Anat","",3
"hiponim","Nomina; Ling","",5
"hiponimi","Nomina","",4
"hipoparatiroidisme","Nomina; Dok","",4
"hipoperfusi","Nomina","",3
"hipopigmentasi","Nomina; Dok","",5
"hipopion","Nomina; Dok","",3
"hipopituitarisme","Nomina","",4
"hipoplankton","Nomina","",2
"hipoplasia","Nomina; Dok","",4
"hipoplastik","Nomina; Tan","",2
"hipopotamus","Nomina","",5
"hipopotomonstroseskuipedaliofobia","Nomina; Psi","",5
"hipoproteinemia","Nomina; Gz","",4
"hipoprotrombinemia","Nomina; Dok","",3
"hiposalivasi","Nomina","",3
"hiposekresi","Nomina; Bio","",3
"hiposensitif","Nomina; Kes","",3
"hiposenter","Nomina","",4
"hiposentrum","Nomina","",5
"hiposit","Nomina; Gz","",2
"hiposmia","Nomina; Dok","",4
"hipospadia","Nomina; Dok","",4
"hipostasis","Nomina; Bio","",3
"hipostatisasi","Nomina","",2
"hipostoma","Nomina","",3
"hipostomatik","Adjektiva; Bio","",2
"hipotaksis","Nomina; Ling","",4
"hipotaktis","Adjektiva; Ling","",3
"hipotalamus","Nomina","",7
"hipotalus","Nomina; Bio","",3
"hipotek","Nomina","",6
"hipotenar","Nomina; Olr","",3
"hipotensi","Nomina","",8
"hipotenusa","Nomina","",6
"hipotermia","Nomina; Dok","",8
"hipotesa","","",3
"hipotesa","","",3
"hipotesis","Nomina","",9
"hipotesium","Nomina; Bio","",2
"hipotetis","Adjektiva","",6
"hipotik","","",2
"hipotik","","",2
"hipotiroid","Nomina","",5
"hipotiroidisme","Nomina; Kim","",5
"hipotonia","Nomina; Dok","",4
"hipotonik","Adjektiva; Kim","",4
"hipotonis","Nomina","",3
"hipotropia","Nomina; Dok","",3
"hipoventilasi","Nomina; Dok","",4
"hipovitaminosis","Nomina","",3
"hipovolemia","Nomina; Dok","",5
"hipovolemik","Nomina","",4
"hipsifobia","Nomina; Psi","",3
"hipsofil","Nomina; Bot","",2
"hipsometer","Nomina","",4
"hipster","Nomina","",7
"hipster","Adjektiva; Nomina","",6
"hipui","Nomina","",2
"hira","Verba; Ht","",2
"hiragana","Nomina","",6
"hirang","Nomina; Bt","",2
"hirang-hirang","Nomina; Bt","",1
"hirangkirang","Nomina","",2
"hiranyagarba","Nomina","",3
"hirap","Verba","",4
"hirarki","","",2
"hirarki","","",2
"hiras","Adjektiva; Bt","",2
"hirau","","",2
"hirhir","Verba; Bt","",1
"hiris","Nomina; Sd","",2
"hirogami","Nomina","",2
"hirografi","Nomina; Filol","",3
"hiroi","Nomina; Dy","",1
"hiroshima","Nomina","",6
"hirsutisme","Nomina; Dok","",4
"hirsutofili","Nomina; Psi","",3
"hirsutofilia","Nomina; Psi","",3
"hiru","Verba","",3
"hiru-biru","Nomina","",3
"hiru-hara","Nomina","",4
"hirudin","Nomina","",4
"hiruk","Adjektiva","",5
"hirup","Verba","",9
"hisa","Nomina; Bgk","",1
"hisab","Nomina","",8
"hisap","","",2
"hisap","","",2
"hisino","Nomina; Ht","",1
"hisitkau","Nomina","",2
"hiski","Nomina; akr","",3
"hisop","Nomina; Kat","",3
"hisop","Nomina","",2
"hispanik","Adjektiva","",6
"hispanofon","Nomina","",3
"histamin","","",2
"histamin","","",2
"histamina","Nomina; Kim","",5
"histaminase","Nomina","",3
"histerektomi","Nomina; Dok","",5
"histeresis","Nomina","",4
"histeria","Nomina; Psi","",7
"histerikal","Adjektiva; Psi","",3
"histeris","Adjektiva","",8
"histerisis","Nomina; Fis","",4
"histerografi","Nomina; Dok","",3
"histeropeksi","Nomina; Dok","",3
"histeroplasti","Nomina; Dok","",3
"histerosalpingografi","Nomina; Dok","",4
"histerosel","Nomina","",2
"histeroskopi","Nomina; Dok","",4
"histerospasme","Nomina","",2
"histerotomi","Nomina; Dok","",4
"histidina","Nomina; Kim","",4
"histiosit","Nomina; Bio","",4
"histiositik","Adjektiva; Bio","",3
"histiositosis","Nomina; Dok","",4
"histofisiologi","Nomina","",3
"histogeni","Nomina","",2
"histogram","Nomina; Stat","",7
"histokimia","Nomina","",4
"histokompatibilitas","Nomina","",4
"histologi","Nomina","",7
"histologis","Adjektiva","",5
"histon","Nomina","",4
"histopatologi","Nomina","",5
"histopatologis","Adjektiva","",4
"histoplasmosis","Nomina; Dok","",4
"histori","Nomina","",7
"historika","Nomina","",3
"historikus","Nomina","",4
"historiografi","Nomina","",6
"historis","Adjektiva","",7
"historisasi","Nomina","",4
"historisisme","Nomina","",4
"historisitas","Nomina","",5
"historisme","Nomina","",4
"historitas","Nomina","",3
"histrionik","Nomina; Adjektiva","",4
"hisymah","Nomina; Isl","",2
"hitada","Nomina; Mus","",2
"hitadi","Nomina; Tb","",1
"hitam","Nomina; Adjektiva","",10
"hitergraf","Nomina","",2
"hiti","Verba","",2
"hito","Nomina","",2
"hitok","Verba; Bla","",1
"hitu","Nomina","",3
"hitung","Verba","",10
"hiu","Nomina","",9
"hiu","Nomina; Kls","",2
"hiuwi","Verba; Me","",1
"hivota","Nomina; BlM","",1
"hiwan","Nomina","",2
"hiwang","Nomina; Filol","",2
"hiwaru","Nomina; Kb","",1
"hiwe","Nomina; Ni","",1
"hiwolata","Verba; Gor","",1
"hiwololo","Nomina; Gor","",1
"hiwuluwa","Verba; Gor","",1
"hiyala","Adjektiva; Gor","",1
"hiyaput","Nomina; Dy","",1
"hiyas","Nomina; Tbt","",2
"hiyayat","Nomina; ark","",2
"hizib","Nomina; Ar","",5
"hj","Nomina; sing","",9
"hlm","Nomina; sing","",9
"hoaks","Nomina; cak","",9
"hoana","Nomina; Mdl","",1
"hoatzin","Nomina","",4
"hoba","Nomina","",2
"hobak","Adjektiva; Md","",1
"hobi","Nomina; Adjektiva; cak","",9
"hobiis","Nomina; cak","",6
"hobo","Nomina; Mus","",5
"hobo","Nomina; Ach","",1
"hobo","Verba; Kai","",1
"hobofobia","Nomina; Psi","",3
"hobojang","Nomina; Bla","",1
"hobontir","Verba; Bun","",1
"hobopan","Nomina; Dy","",1
"hobung","Nomina; Sln","",1
"hobus","Verba; Bt","",1
"hoci","Nomina","",3
"hoda","Nomina; Sb","",2
"hodadoda","Nomina","",2
"hodah","","",2
"hodah","","",2
"hodahoda","Nomina; Bt","",1
"hode","Verba; Bla","",1
"hode","Nomina","",2
"hodi","Nomina; Sb","",1
"hodofobia","Nomina; Psi","",3
"hodograf","Nomina; Met","",3
"hodometer","Nomina","",4
"hodoskop","Nomina","",3
"hodot","Nomina; Bt","",1
"hogao","Nomina; Tbg","",1
"hogei","Nomina; Stn","",1
"hogo-hogo","Nomina; Mu","",1
"hogo-hogo","Nomina; Me","",1
"hogor","Nomina; Ky","",1
"hogor","Verba; MAb","",1
"hogor","Verba; Eln","",1
"hohambingo","Nomina; BlM","",1
"hoharue","Nomina; Tb","",1
"hohet","Nomina; Kai","",1
"hohlraum","Nomina","",3
"hoho","Nomina; Kei","",1
"hoho","Nomina; Ni","",1
"hohoke","Verba; Tb","",1
"hohola","Nomina; Pi","",1
"hohole","Nomina; Me","",1
"hohon","Nomina; Oi","",1
"hohono","Nomina; Tb","",1
"hohoun","Nomina","",2
"hoiltom","Verba; Kei","",1
"hoir-hoir","Nomina; Kei","",1
"hoisem","Nomina","",3
"hoito","Nomina; Pi","",1
"hoiye","Nomina; Let","",1
"hokae","Verba; Pi","",1
"hokah","Nomina; Ar","",3
"hoke","Verba; Oi","",1
"hoki","Nomina","",8
"hoki","Nomina; Cn","",5
"hokkian","Nomina","",5
"hokkien","Nomina","",5
"hoklopan","Nomina","",5
"hoko","Nomina; Bo","",1
"hokunying","Verba; Dy","",1
"holakola","Nomina; Dn","",1
"holat","Nomina; Bt","",2
"holbung","Nomina; Bt","",1
"holdingnisasi","Nomina","",4
"hole","Nomina; Sb","",2
"holek","Verba; Bun","",1
"holi","Nomina","",5
"holi","Nomina","",3
"holi","Nomina; Ram","",1
"holim","Nomina; Dn","",1
"holisme","Nomina","",5
"holistik","Adjektiva","",8
"holistis","Adjektiva","",5
"holiwut","Nomina; cak","",4
"holjana","Nomina; Mdr","",1
"holmium","Nomina; Kim","",4
"holo","Nomina","",3
"holobentos","Nomina; Bio","",3
"holoendemi","Nomina","",3
"holoenzim","Nomina","",4
"holoepipelagik","Nomina; Zool","",3
"holofiletik","Adjektiva","",3
"holofit","Nomina; Bot","",4
"holofitik","Nomina; Bio","",3
"holofrasis","Nomina; Ling","",3
"holofrastik","Nomina; Ling","",3
"hologamet","Nomina; Zool","",3
"hologami","Nomina; Zool","",3
"holograf","Nomina","",4
"holografi","Nomina; Fis","",5
"holografik","","",2
"holografis","Adjektiva","",4
"hologram","Nomina","",8
"holohedral","Adjektiva; Kim","",3
"holokarp","Adjektiva; Bio","",2
"holokaus","Nomina","",6
"holokrin","Adjektiva","",3
"holokristalin","Nomina; Geo","",3
"holometabola","Nomina; Ent","",4
"holometabolik","Adjektiva","",3
"holomorfik","Nomina","",3
"holonekrotik","Nomina; Bio","",2
"holong","Verba; Bla","",1
"holonim","Nomina; Ling","",4
"holoparasit","Nomina; Bio","",4
"holophoy","Nomina; Stn","",1
"holoplankton","Nomina","",3
"holoprosensefali","Nomina","",3
"holoselulosa","Nomina; Kim","",3
"holosen","Nomina; Geo","",6
"holotipe","Nomina","",5
"holoto","Nomina; Bgk","",1
"holozoik","Adjektiva; Bio","",3
"holtikultura","","",2
"holtikultura","","",2
"holu","Nomina; Bun","",1
"holue","Nomina; Me","",1
"holut","Nomina","",2
"homang","Nomina","",2
"homban","Nomina; Bt","",1
"hombit","Adjektiva; Dy","",1
"hombung","Nomina; Bt","",1
"homeoboks","Nomina; Bio","",3
"homeodomain","Nomina; Bio","",3
"homeomorfik","Nomina","",3
"homeopati","Nomina","",5
"homeosis","Nomina; Bio","",3
"homeostasi","Nomina","",3
"homeostasis","Nomina; Dok","",7
"homeostatik","Nomina; Bio; Adjektiva","",4
"homeotermik","Adjektiva; Bio","",4
"homeotik","Adjektiva; Bio","",4
"homeovestisme","Nomina; Psi","",3
"homer","Nomina","",3
"homiklofobia","Nomina; Psi","",3
"homiletik","Nomina; Adjektiva","",4
"homiletika","Nomina; Kat","",4
"homili","Nomina; Kat","",5
"homilofobia","Nomina; Psi","",3
"homini","Nomina; Pang","",3
"hominid","Nomina; Antr","",4
"hominisasi","Nomina; Antr","",3
"hominoid","Adjektiva","",3
"homo","Nomina","",5
"homo","Nomina; of; sing","",5
"homo-","bentuk terikat","",4
"homoblastik","Adjektiva; Bot; Bio","",3
"homodimer","Nomina; Kim","",4
"homodimerik","Adjektiva; Kim","",3
"homodinamik","Adjektiva; Ent","",2
"homoerotik","Adjektiva","",4
"homoerotisme","Nomina","",3
"homofermentasi","Nomina; Bio","",4
"homofermentatif","Adjektiva; Kim","",3
"homofili","Nomina; Psi","",3
"homofilia","Nomina; Psi","",3
"homofobia","Nomina; Psi","",6
"homofobik","Adjektiva","",4
"homofon","Nomina; Ling","",7
"homofoni","Nomina; Ling","",5
"homofonik","Adjektiva","",4
"homogami","Nomina; Antr; Bio","",5
"homogen","Adjektiva","",8
"homogenat","Nomina","",4
"homogeni","Nomina","",2
"homogenisasi","Nomina","",5
"homogenitas","Nomina","",7
"homograf","Nomina; Ling","",6
"homografi","Nomina; Ling","",5
"homogram","Nomina; Ling","",4
"homoiomer","Nomina; Bio","",2
"homoiotermal","Adjektiva","",3
"homoiterm","Nomina; Bio","",4
"homokarion","Nomina; Mik","",3
"homoklin","Nomina; Geo","",3
"homolisis","Nomina; Kim","",4
"homolitik","Adjektiva; Kim","",3
"homolog","Adjektiva","",6
"homologasi","Nomina","",5
"homologi","Nomina","",6
"homomorfik","Nomina","",3
"homomorfisme","Nomina; Mat","",5
"homonim","Nomina; Ling","",7
"homonimi","Nomina; Ling","",6
"homonuklir","Nomina","",4
"homopause","Nomina; Hidm","",3
"homoplasi","Nomina; Bio","",3
"homoplasmi","Nomina; Bio","",3
"homopolar","Nomina","",4
"homopolikarion","Nomina; Bio","",2
"homopolimer","Nomina; Kim","",5
"homopolimerisasi","Nomina; Kim","",4
"homopolisakarida","Nomina; Kim","",4
"homorgan","Adjektiva; Ling","",3
"homoseks","Nomina","",6
"homoseksual","Adjektiva","",8
"homoseksualisasi","Nomina","",4
"homoseksualisme","Nomina","",5
"homoseksualitas","Nomina","",6
"homosentrik","Adjektiva","",3
"homosfer","Nomina","",4
"homosiklik","Adjektiva; Kim","",4
"homosistein","Nomina; Kim","",4
"homosisteina","Nomina","",3
"homosistinuria","Nomina; Dok","",3
"homoskedastisitas","Nomina; Stat","",5
"homososial","Adjektiva; Sos","",4
"homososialitas","Nomina; Psi","",3
"homospora","Nomina; Bot","",4
"homospori","Nomina; Bot","",4
"homoterm","Adjektiva","",3
"homotipe","Nomina; Bio","",4
"homotopi","Nomina; Mat","",4
"homotopik","Adjektiva","",3
"homotransplan","Nomina; Bio","",3
"homotransplantasi","Nomina; Dok","",4
"homozigosis","Nomina; Bio","",3
"homozigositas","Nomina; Bio","",3
"homozigot","Nomina; Bio","",5
